CASTNO,HM_WT,AIM_S,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S
V97680,175,0.005,0.031,4.57,0.755,0.079,0.046,297,41,1383,8,3,0.006
V97678,176,0.005,0.031,4.55,0.666,0.082,0.043,296,43,1358,8,4,0.004
V97677,178,0.005,0.038,4.54,0.523,0.067,0.042,344,52,1371,8,5,0.005
V97676,156,0.005,0.039,4.47,0.51,0.062,0.043,350,49,1381,9,4,0.007
V97675,164,0.005,0.04,4.52,0.463,0.057,0.043,344,48,1418,10,4,0.008
V97674,172,0.005,0.041,4.57,0.468,0.055,0.044,338,48,1337,9,5,0.006
V97673,170,0.005,0.04,4.56,0.687,0.075,0.043,351,49,1376,9,5,0.007
V97672,163,0.005,0.034,4.54,0.77,0.081,0.044,313,45,1395,9,4,0.005
V97671,171,0.005,0.037,4.48,0.555,0.064,0.044,320,45,1382,9,4,0.006
V97670,157,0.005,0.044,4.54,0.505,0.062,0.043,369,53,1385,10,5,0.004
V97669,172,0.005,0.046,4.56,0.478,0.058,0.042,378,53,1353,10,4,0.007
V97668,173,0.005,0.049,4.46,0.488,0.056,0.042,380,55,1372,11,5,0.007
V97667,166,0.005,0.041,4.53,0.398,0.055,0.042,355,49,1368,9,5,0.008
V97666,158,0.005,0.042,4.48,0.409,0.052,0.042,351,59,1376,10,5,0.006
V97665,165,0.005,0.041,4.49,0.811,0.082,0.042,396,58,1325,12,6,0.002
V97664,156,0.005,0.04,4.55,0.737,0.078,0.044,341,48,1382,10,4,0.005
V97662,162,0.005,0.051,4.47,0.545,0.065,0.044,402,58,1365,10,5,0.007
V97663,164,0.005,0.044,4.54,0.678,0.074,0.044,368,54,1422,10,6,0.005
V97661,160,0.005,0.041,4.57,0.592,0.07,0.045,344,49,1377,9,4,0.007
V97659,166,0.005,0.03,4.54,0.856,0.091,0.042,298,42,1351,7,4,0.007
V97660,169,0.005,0.041,4.55,0.72,0.07,0.045,349,48,1385,9,5,0.006
V97658,156,0.005,0.029,4.56,0.833,0.091,0.048,294,41,1363,7,3,0.004
V97655,160,0.005,0.035,4.6,0.721,0.082,0.045,322,45,1411,8,4,0.006
V97654,157,0.005,0.028,4.65,0.942,0.098,0.046,289,48,1385,7,4,0.006
V97653,160,0.005,0.029,4.58,0.987,0.097,0.044,293,43,1404,7,4,0.005
V97652,167,0.005,0.028,4.65,0.989,0.098,0.041,291,41,1426,7,4,0.007
V97651,175,0.005,0.035,4.56,0.815,0.083,0.045,325,45,1409,8,0,0.005
V97650,173,0.005,0.036,4.58,0.746,0.073,0.045,322,46,1406,8,5,0.008
V97649,168,0.005,0.033,4.62,0.713,0.076,0.051,294,41,,7,3,0.007
V97648,160,0.005,0.029,4.61,0.956,0.097,0.05,373,53,1356,10,5,0.004
